id,rank,name,symbol,slug,is_active,first_historical_data,last_historical_data,platform
733,7527,Quotient,XQN,quotient,1,2014-11-23T20:05:00.000Z,2024-02-05T20:50:00.000Z,
760,7528,Okcash,OK,okcash,1,2014-12-14T03:25:00.000Z,2024-02-05T20:50:00.000Z,
764,7529,PayCoin,XPY,paycoin2,1,2014-12-16T05:30:00.000Z,2024-02-05T20:45:00.000Z,
788,798,Circuits of Value,COVAL,circuits-of-value,1,2015-01-23T13:35:00.000Z,2024-02-05T20:45:00.000Z,"{'id': 1, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x3d658390460295fb963f54dc0899cfb1c30776df'}"
799,2102,SmileyCoin,SMLY,smileycoin,1,2015-01-28T04:45:00.000Z,2024-02-05T20:45:00.000Z,
815,7530,Kobocoin,KOBO,kobocoin,1,2015-02-15T15:10:00.000Z,2024-02-05T20:50:00.000Z,
819,6006,Bean Cash,BITB,bean-cash,1,2015-02-18T13:15:00.000Z,2024-02-05T20:45:00.000Z,
825,3,Tether USDt,USDT,tether,1,2015-02-25T13:30:00.000Z,2024-02-05T20:45:00.000Z,"{'id': 1, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xdac17f958d2ee523a2206206994597c13d831ec7'}"
831,7531,Wild Beast Block,WBB,wild-beast-block,1,2015-02-28T17:10:00.000Z,2024-02-05T20:50:00.000Z,
833,7532,Gridcoin,GRC,gridcoin,1,2015-02-28T18:20:00.000Z,2024-02-05T20:45:00.000Z,
837,7533,X-Coin,XCO,x-coin,1,2015-03-06T04:30:00.000Z,2024-02-05T20:50:00.000Z,
853,1975,LiteDoge,LDOGE,litedoge,1,2015-03-19T05:30:00.000Z,2024-02-05T20:45:00.000Z,
857,7534,SongCoin,SONG,songcoin,1,2015-03-23T01:55:00.000Z,2024-02-05T20:45:00.000Z,
859,7535,Woodcoin,LOG,woodcoin,1,2015-03-23T02:00:00.000Z,2024-02-05T20:50:00.000Z,
873,148,NEM,XEM,nem,1,2015-04-01T00:25:00.000Z,2024-02-05T20:50:00.000Z,
894,2179,Neutron,NTRN,neutron,1,2015-04-21T12:10:00.000Z,2024-02-05T20:50:00.000Z,
895,7536,Xaurum,XAUR,xaurum,1,2015-04-21T12:15:00.000Z,2024-02-05T20:45:00.000Z,"{'id': 1, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x4DF812F6064def1e5e029f1ca858777CC98D2D81'}"
898,7537,Californium,CF,californium,1,2015-04-21T12:10:00.000Z,2024-02-05T20:50:00.000Z,
916,7538,MedicCoin,MEDIC,mediccoin,1,2015-05-04T03:15:00.000Z,2024-02-05T20:50:00.000Z,
918,7539,Bubble,BUB,bubble,1,2015-05-07T03:00:00.000Z,2024-02-05T20:45:00.000Z,
921,7540,Universal Currency,UNIT,universal-currency,1,2015-05-07T03:00:00.000Z,2024-02-05T20:45:00.000Z,
934,7541,ParkByte,PKB,parkbyte,1,2015-05-19T00:30:00.000Z,2024-02-05T20:50:00.000Z,
938,7542,ARbit,ARB,arbit,1,2015-05-21T04:10:00.000Z,2024-02-05T20:45:00.000Z,
945,7543,Bata,BTA,bata,1,2015-05-29T11:40:00.000Z,2024-02-05T20:50:00.000Z,
948,7544,AudioCoin,ADC,audiocoin,1,2015-06-05T12:55:00.000Z,2024-02-05T20:45:00.000Z,
951,7545,Synergy,SNRG,synergy,1,2015-06-08T04:40:00.000Z,2024-02-05T20:50:00.000Z,
978,7546,Ratecoin,XRA,ratecoin,1,2015-06-26T12:30:00.000Z,2024-02-05T20:45:00.000Z,
986,7547,CrevaCoin,CREVA,crevacoin,1,2015-07-07T15:45:00.000Z,2024-02-05T20:45:00.000Z,
993,7548,BowsCoin,BSC,bowscoin,1,2015-07-13T20:35:00.000Z,2024-02-05T20:50:00.000Z,
1004,7549,HNC COIN,HNC,hnccoin,1,2015-07-21T16:35:00.000Z,2024-02-05T20:45:00.000Z,
1019,6930,Manna,MANNA,manna,1,2015-07-27T15:50:00.000Z,2024-02-05T20:50:00.000Z,
1020,7550,Axiom,AXIOM,axiom,1,2015-07-30T03:00:00.000Z,2024-02-05T20:50:00.000Z,
1027,2,Ethereum,ETH,ethereum,1,2015-08-07T14:45:00.000Z,2024-02-05T20:45:00.000Z,
1032,7551,TransferCoin,TX,transfercoin,1,2015-08-21T02:05:00.000Z,2024-02-05T20:45:00.000Z,
1033,5589,GuccioneCoin,GCC,guccionecoin,1,2015-08-21T02:05:00.000Z,2024-02-05T20:50:00.000Z,
1035,7552,AmsterdamCoin,AMS,amsterdamcoin,1,2015-08-21T02:05:00.000Z,2024-02-05T20:50:00.000Z,
1037,421,Agoras: Currency of Tau,AGRS,agoras-tokens,1,2015-08-24T02:45:00.000Z,2024-02-05T20:50:00.000Z,"{'id': 1, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x738865301a9b7dd80dc3666dd48cf034ec42bdda'}"
1038,7553,Eurocoin,EUC,eurocoin,1,2015-08-24T02:45:00.000Z,2024-02-05T20:50:00.000Z,
1042,110,Siacoin,SC,siacoin,1,2015-08-26T18:15:00.000Z,2024-02-05T20:50:00.000Z,
1044,549,KWD,KWD,global-currency-reserve,1,2015-08-26T18:15:00.000Z,2024-02-05T20:45:00.000Z,
1052,7554,VectorAI,VEC2,vector,1,2015-09-04T16:35:00.000Z,2024-02-05T20:50:00.000Z,
1053,2078,Bolivarcoin,BOLI,bolivarcoin,1,2015-09-08T21:25:00.000Z,2024-02-05T20:50:00.000Z,
1066,5094,Pakcoin,PAK,pakcoin,1,2015-09-15T20:00:00.000Z,2024-02-05T20:45:00.000Z,
1070,6877,Expanse,EXP,expanse,1,2015-09-15T20:00:00.000Z,2024-02-05T20:50:00.000Z,
1082,7555,SIBCoin,SIB,sibcoin,1,2015-09-25T22:15:00.000Z,2024-02-05T20:50:00.000Z,
1085,7556,Swing,SWING,swing,1,2015-09-28T15:40:00.000Z,2024-02-05T20:50:00.000Z,
1090,7557,Save and Gain,SANDG,save-and-gain,1,2015-10-12T16:30:00.000Z,2024-02-05T20:50:00.000Z,
1104,985,Augur,REP,augur,1,2015-10-27T17:10:00.000Z,2024-02-05T20:45:00.000Z,"{'id': 1, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x1985365e9f78359a9B6AD760e32412f4a445E862'}"
